"area_id","parea_id","amo","sum","total","pages","female","male","ctime","update_time","max_hour","avg_hour"
"219","6","52","52","1","1","0","0","11/4/2019 18:00:00",,"0","0"
"216","6","11153","21434","48","1","0","0","11/4/2019 18:00:00",,"0","0"
"107","2","26140","108509","417","9","0","0","11/4/2019 18:00:00","11/4/2019 18:16:25","0","0"
"114","2","1003","1148","10","1","0","0","11/4/2019 18:00:00",,"0","0"
"249","2","2501","3476","22","1","0","0","11/4/2019 18:00:00",,"0","0"
"181","2","52","352","23","1","0","0","11/4/2019 18:00:00",,"0","0"
"166","2","38","104","9","1","0","0","11/4/2019 18:00:00",,"0","0"
"248","2","6723","7806","10","1","0","0","11/4/2019 18:00:00",,"0","0"
"81","2","404","753","7","1","0","0","11/4/2019 18:00:00",,"0","0"
"173","2","473","562","7","1","0","0","11/4/2019 18:00:00",,"0","0"
"164","2","1885","2215","12","1","0","0","11/4/2019 18:00:00",,"0","0"
"112","2","30","44","3","1","0","0","11/4/2019 18:00:00",,"0","0"
"93","2","4101","7860","24","1","0","0","11/4/2019 18:00:00",,"0","0"
"176","2","541","1537","12","1","0","0","11/4/2019 18:00:00",,"0","0"
"88","2","2307","2750","24","1","0","0","11/4/2019 18:00:00",,"0","0"
"102","2","4406","9795","63","2","0","0","11/4/2019 18:00:00","11/4/2019 18:16:23","0","0"
"83","2","2354","4283","31","1","0","0","11/4/2019 18:00:00",,"0","0"
"82","2","85849","99076","44","1","0","0","11/4/2019 18:00:00",,"0","0"
"35","3","268648","726927","232","5","0","0","11/4/2019 18:00:00","11/4/2019 18:16:25","0","0"
"115","2","3682","4275","23","1","0","0","11/4/2019 18:00:00",,"0","0"
"163","3","75844","238876","68","2","0","0","11/4/2019 18:00:00","11/4/2019 18:16:26","0","0"
"42","3","14","17","2","1","0","0","11/4/2019 18:00:00",,"0","0"
"196","2","8260","17425","35","1","0","0","11/4/2019 18:00:00",,"0","0"
